data,projeto,financiado_por,descricao,item_cod,categoria,valor
05/12/2025,MORADA BELA,CAMURIM,FRETE TÁBUAS,2.7,MADEIRA,50
05/12/2025,MORADA BELA,CAMURIM,TAXA DE REGISTRO,3.2,TAXAS REGISTRO DO LOTE/AVERBAÇÕES LOTE,1876.69
05/12/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5100
06/12/2025,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES HIDRAULICAS - JÓ,1.2,FOLHA INSTALAÇÕES HIDRÁULICAS,600
06/12/2025,MORADA BELA,CAMURIM,CÍCERO - CONCRETO E BOMBA,2.20,CONCRETO USINADO,5000
06/12/2025,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES ELÉTRICAS - MARADONA,1.3,FOLHA INSTALAÇÕES ELÉTRICAS,1000
08/12/2025,MORADA BELA,CAMURIM,REEMBOLSO - CAL ,2.12,MATERIAIS DIVERSOS,268
09/12/2025,MORADA BELA,CAMURIM,CONTABILIDADE ,4.2,DESPESAS EMPRESA,1900
09/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAL HIDRAULICO,2.9,MATERIAL HIDRÁULICO,66.5
09/12/2025,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MATERIAL HIDRAULICO (REGISTROS),2.9,MATERIAL HIDRÁULICO,616.84
10/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAL HIDRAULICO,2.9,MATERIAL HIDRÁULICO,99
11/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAL HIDRAULICO,2.9,MATERIAL HIDRÁULICO,292
12/12/2025,MORADA BELA,CAMURIM,ALUGUEIS - ALUGUEL DE ESCORAS (PRÁTICO),2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",828
12/12/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,4900
12/12/2025,MORADA BELA,CAMURIM,REEMBOLSO - CAL ,2.12,MATERIAIS DIVERSOS,40
12/12/2025,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES HIDRAULICAS - JÓ,1.2,FOLHA INSTALAÇÕES HIDRÁULICAS,1200
12/12/2025,MORADA BELA,CAMURIM,9ª E 10ª CARRADA DE AREIA,2.1,AREIA,2350
12/12/2025,MORADA BELA,CAMURIM,ALUGUEIS - BETONEIRA (CASA DO CONSTRUTOR),2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",330.04
13/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAL ELÉTRICA,2.8,MATERIAL ELÉTRICA,41
15/12/2025,MORADA BELA,ARCA,ALUGUEIS - CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",450
16/12/2025,MORADA BELA,CAMURIM,TELHA CANAL - 4.000,2.24,TELHAS,3200
16/12/2025,MORADA BELA,CAMURIM,FRETE - CERÂMICA,2.6,CERÂMICA/ARGAMASSA/REJUNTE,1000
17/12/2025,MORADA BELA,CAMURIM,VOTORANTIM - CIMENTO,2.3,CIMENTO (50kg),9989.81
17/12/2025,MORADA BELA,CAMURIM,LUMINÁRIAS LED DE EMBUTIR,2.8,MATERIAL ELÉTRICA,390
17/12/2025,MORADA BELA,CAMURIM,ARGAMASSA DO MESTRE 180 SACOS 20KG,2.6,CERÂMICA/ARGAMASSA/REJUNTE,1692
17/12/2025,MORADA BELA,CAMURIM,FRETE ARGAMASSA,2.6,CERÂMICA/ARGAMASSA/REJUNTE,218.2
17/12/2025,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MATERIAL ELÉTRICA,2.8,MATERIAL ELÉTRICA,1622.1
17/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MAT HIDRO,2.9,MATERIAL HIDRÁULICO,51.83
17/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAIS DIVERSOS,2.12,MATERIAIS DIVERSOS,16.17
18/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MAT HIDO,2.9,MATERIAL HIDRÁULICO,53.35
19/12/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,4500
19/12/2025,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES HIDRAULICAS - JÓ,1.2,FOLHA INSTALAÇÕES HIDRÁULICAS,1200
19/12/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM - MATERIAL ELÉTRICA,2.8,MATERIAL ELÉTRICA,526
19/12/2025,MORADA BELA,CAMURIM,NB SERRALHARIA - PORTÕES DE FERRO,2.17,PORTÕES DE FERRO,3300.0000000000005
19/12/2025,MORADA BELA,CAMURIM,NB SERRALHARIA - ESQUADRIAS,2.14,ESQUADRIAS DE VIDRO,7500
19/12/2025,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES ELÉTRICAS - MARADONA,1.3,FOLHA INSTALAÇÕES ELÉTRICAS,2600
22/12/2025,MORADA BELA,CAMURIM,DAE JUCEPE - ESPECÍFICA,4.2,DESPESAS EMPRESA,60
22/12/2025,MORADA BELA,CAMURIM,DAE JUCEPE - INTEIRO TEOR,4.2,DESPESAS EMPRESA,124
22/12/2025,MORADA BELA,CAMURIM,DAE JUCEPE - SIMPLIFICADA,4.2,DESPESAS EMPRESA,30
23/12/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,4500
23/12/2025,MORADA BELA,CAMURIM,CONFRATERNIZAÇÃO DA FIRMA,4.1,DESPESA EXTRA,790
23/12/2025,MORADA BELA,CAMURIM,MÃO DE OBRA E MATERIAL - FORRO DE GESSO,2.21,GESSO,2500
31/12/2025,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,3500
05/01/2026,MORADA BELA,CAMURIM,AGR - CONTABILIDADE ,4.2,DESPESAS EMPRESA,1000
05/01/2026,MORADA BELA,CAMURIM,ALUGUEIS - BETONEIRA,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",380
05/01/2026,MORADA BELA,CAMURIM,11ª CARRADA DE AREIA,2.1,AREIA,1150
05/01/2026,MORADA BELA,CAMURIM,"VIEIRA CONSTRUÇÕES - BALDES, SERRA E CADEADO",2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",185
05/01/2026,MORADA BELA,CAMURIM,ARMAZÉM DOIS IRMÃOS - ESPAÇADORES,2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",30
06/01/2026,MORADA BELA,CAMURIM,VIEIRA CONSTRUÇÕES,2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",144
07/01/2026,MORADA BELA,CAMURIM,ALUGUEIS - ALUGUEL DE ESCORAS (ANDAIMES),2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",360
07/01/2026,MORADA BELA,CAMURIM,MÃO DE OBRA E MATERIAL - FORRO DE GESSO,2.21,GESSO,1000
08/01/2026,MORADA BELA,CAMURIM,ÁGUA - CARRO PIPA,4.1,DESPESA EXTRA,1495
08/01/2026,MORADA BELA,CAMURIM,PRO LABORE - AYRSON,4.2,DESPESAS EMPRESA,6000
08/01/2026,MORADA BELA,CAMURIM,PRO LABORE - ALEXANDRE,4.2,DESPESAS EMPRESA,3000
08/01/2026,MORADA BELA,CAMURIM,PRO LABORE - CAIO,4.2,DESPESAS EMPRESA,3000
08/01/2026,MORADA BELA,CAMURIM,BRAVA TINTAS - MATERIAL PINTURA,2.10,MATERIAL PINTURA,5854
08/01/2026,MORADA BELA,CAMURIM,ALUGUEIS - ALUGUEL DE ESCORAS (ANDAIMES),2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",410
09/01/2026,MORADA BELA,CAMURIM,TREVO FERRAGENS - MALHA,2.5,FERRAGEM,360
09/01/2026,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,7000
10/01/2026,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MAT HIDRO,2.9,MATERIAL HIDRÁULICO,1568
10/01/2026,MORADA BELA,CAMURIM,MÃO DE OBRA E MATERIAL - FORRO DE GESSO,2.21,GESSO,1500
12/01/2026,MORADA BELA,ARCA,PAMESA - CERÂMICAS,2.6,CERÂMICA/ARGAMASSA/REJUNTE,3431.91
13/01/2026,MORADA BELA,ARCA,ALUGUEIS - CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",450
14/01/2026,MORADA BELA,CAMURIM,FOLHA INSTALAÇÕES ELÉTRICAS - MARADONA,1.3,FOLHA INSTALAÇÕES ELÉTRICAS,200
15/01/2026,MORADA BELA,ARCA,AM COMERCIAL - MAT ELÉTRICA,2.8,MATERIAL ELÉTRICA,2278.11
15/01/2026,MORADA BELA,ARCA,AM COMERCIAL - MAT ELÉTRICA,2.8,MATERIAL ELÉTRICA,107.64
15/01/2026,MORADA BELA,CAMURIM,INTEIRO TEOR ATUALIZADA,3.13,AFETAÇÃO,62.52
15/01/2026,MORADA BELA,CAMURIM,VIEIRA CONSTRUÇÕES,2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",26.5
16/01/2026,MORADA BELA,CAMURIM,ALIZARES PARA PORTAS DE MADEIRA,2.19,ESQUADRIAS DE MADEIRA,630
16/01/2026,MORADA BELA,CAMURIM,KDK - PORTAS DE MADEIRA,2.19,ESQUADRIAS DE MADEIRA,1358
16/01/2026,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,7000
16/01/2026,MORADA BELA,CAMURIM,FOLHA PINTURA - JOEDSON,1.4,FOLHA PINTURA,2500
19/01/2026,MORADA BELA,CAMURIM,MRE ARMAZÉM - ARGAMASSA AC I,2.6,CERÂMICA/ARGAMASSA/REJUNTE,142.5
20/01/2026,MORADA BELA,CAMURIM,INTEIRO TEOR E CERTIDÃO VINTENÁRIA,3.13,AFETAÇÃO,188.01
22/01/2026,MORADA BELA,CAMURIM,ALMEIDA DISTRIBUIDORA - MAT HIDRO,2.9,MATERIAL HIDRÁULICO,1365.51
22/01/2026,MORADA BELA,CAMURIM,12ª CARRADA DE AREIA,2.1,AREIA,1500
22/01/2026,MORADA BELA,CAMURIM,4ª CARRADA DE BRITA,2.2,BRITA,1250
22/01/2026,MORADA BELA,CAMURIM,PAGAMENTO IPTU - LOTE 18 QAH,3.15,IPTU,70.79
22/01/2026,MORADA BELA,CAMURIM,PAGAMENTO IPTU - LOTE 18 QAH,3.15,IPTU,64.08
22/01/2026,MORADA BELA,CAMURIM,PAGAMENTO IPTU - LOTE 18 QAH,3.15,IPTU,60.67
22/01/2026,MORADA BELA,CAMURIM,PAGAMENTO IPTU - LOTE 18 QAH,3.15,IPTU,170.5
22/01/2026,MORADA BELA,CAMURIM,2001 - MATERIAL PARA CERÂMICA,2.6,CERÂMICA/ARGAMASSA/REJUNTE,405.33
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,18.21
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,18.21
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,18.21
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,18.21
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,33.32
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,33.32
23/01/2026,MORADA BELA,CAMURIM,CERTIDÕES DE PROTESTO - AFETAÇÃO,3.13,AFETAÇÃO,18.21
23/01/2026,MORADA BELA,CAMURIM,REEMBOLSO PINTURA MATERIAL - JOEDSON,2.10,MATERIAL PINTURA,200
23/01/2026,MORADA BELA,CAMURIM,FOLHA MÃO DE OBRA - CAL,1.1,FOLHA MÃO DE OBRA CIVIL,5000
23/01/2026,MORADA BELA,CAMURIM,VAREJÃO - DESPACHO DA AFETAÇÃO,3.13,AFETAÇÃO,1300
27/01/2026,MORADA BELA II,CAMURIM,NAB COMERCIO - 50 SACOS DE CIMENTO,2.3,CIMENTO (50kg),1925
27/01/2026,MORADA BELA II,CAMURIM,1ª CARRADA DE TIJOLO - 8000,2.4,TIJOLO,5200
27/01/2026,MORADA BELA II,CAMURIM,MUCK - TRANSPORTE DO CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",300
27/01/2026,MORADA BELA,CAMURIM,FOLHA PINTURA - JOEDSON,1.4,FOLHA PINTURA,2500
27/01/2026,MORADA BELA,CAMURIM,MRE ARMAZÉM - FECHADURAS E DOBRADIÇAS,2.19,ESQUADRIAS DE MADEIRA,1019
28/01/2026,MORADA BELA,CAMURIM,PLOTAGEM DE PROJETOS - AFETAÇÃO,3.5,PLOTAGENS E IMPRESSÕES,68.7
28/01/2026,MORADA BELA,ARCA,RECONHECIMENTO DE FIRMA - AFETAÇÃO,3.13,AFETAÇÃO,600
